project_slug,fiscal_year,category,amount,funding_source,restricted,notes
claiborne-millers-ferry-dam-impact-assessment,2024,ENVIRONMENTAL_STUDY,100000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2024,ECONOMIC_STUDY,10000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2024,STAFF_TIME,85000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2025,FINAL_PAYMENTS_FOR_STUDIES,325000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2025,STAFF_TIME,100000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2025,ADVOCACY_MARKETING_COMMS,70000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2026,STAFF_TIME,80000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2026,ADVOCACY,25000,,,Rough budget
claiborne-millers-ferry-dam-impact-assessment,2026,MARKETING_AND_COMMS,25000,,,Rough budget
