"Account","Description","Unit Cost","Quantity","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Notes"
"Communications: Branding & Marketing","Communications: Branding & Marketing","","","433","433","433","433","433","433","433","433","433","433","433","433",""
"4040 Printing","4040 Printing","","","167","167","167","167","167","167","167","167","167","167","167","167",""
"4070 Advertising","4070 Advertising","","","267","267","267","267","267","267","267","267","267","267","267","267",""
"Programs: Projects","Programs: Projects","","","3088","3088","3088","2921","2921","2921","3088","3088","3088","3088","3088","3088",""
"7410 Consulting","7410 Consulting","","","1250","1250","1250","1250","1250","1250","1250","1250","1250","1250","1250","1250",""
"7460 Meals","7460 Meals","","","1834","1834","1834","1667","1667","1667","1834","1834","1834","1834","1834","1834",""
"7455 Travel","7455 Travel","","","4","4","4","4","4","4","4","4","4","4","4","4",""
