"Account","Description","Unit Cost","Quantity","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Notes"
"Programs: Projects","Programs: Projects","","","0","227","227","1327","1327","1327","5077","4850","4850","3750","3750","3750",""
"7410 Consulting","7410 Consulting","","","0","0","0","1100","1100","1100","1100","1100","1100","0","0","0",""
"7430 Legal Fees","7430 Legal Fees","","","0","0","0","0","0","0","3750","3750","3750","3750","3750","3750",""
"7455 Travel","7455 Travel","","","0","227","227","227","227","227","227","0","0","0","0","0",""
